code,label,population,NumPeople,Percentage,category,shortDesc
W06000001,Isle of Anglesey,68878,20621,29.93844188,8,none
W06000001,Isle of Anglesey,68878,459,0.666395656,7,other
W06000001,Isle of Anglesey,68878,544,0.789802259,6,readWrite
W06000001,Isle of Anglesey,68878,157,0.227939255,5,write
W06000001,Isle of Anglesey,68878,883,1.281976829,4,read
W06000001,Isle of Anglesey,68878,2221,3.224541944,3,speakRead
W06000001,Isle of Anglesey,68878,4414,6.408432301,2,speak
W06000001,Isle of Anglesey,68878,30316,44.01405383,1,all
W06000001,Isle of Anglesey,68878,7468,10.84235895,0,understand
W06000001,Isle of Anglesey,68878,1792,2.601701559,-8,N/A
W06000002,Gwynedd,117393,3086,2.628776844,-8,N/A
W06000002,Gwynedd,117393,3170,2.700331366,3,speakRead
W06000002,Gwynedd,117393,29977,25.53559412,8,none
W06000002,Gwynedd,117393,993,0.845876671,7,other
W06000002,Gwynedd,117393,1004,0.855246906,6,readWrite
W06000002,Gwynedd,117393,387,0.329661905,5,write
W06000002,Gwynedd,117393,1213,1.033281371,4,read
W06000002,Gwynedd,117393,6142,5.231998501,2,speak
W06000002,Gwynedd,117393,63256,53.88396242,1,all
W06000002,Gwynedd,117393,8166,6.956121745,0,understand
W06000003,Conwy,114741,4022,3.505285818,2,speak
W06000003,Conwy,114741,2936,2.558806355,-8,N/A
W06000003,Conwy,114741,69159,60.27400842,8,none
W06000003,Conwy,114741,315,0.274531336,7,other
W06000003,Conwy,114741,842,0.733826618,6,readWrite
W06000003,Conwy,114741,248,0.216138956,5,write
W06000003,Conwy,114741,1849,1.611455365,4,read
W06000003,Conwy,114741,2058,1.793604727,3,speakRead
W06000003,Conwy,114741,22605,19.70089157,1,all
W06000003,Conwy,114741,10707,9.331450833,0,understand
W06000004,Denbighshire,95817,2755,2.875272655,-8,N/A
W06000004,Denbighshire,95817,7429,7.753321436,0,understand
W06000004,Denbighshire,95817,233,0.24317188,7,other
W06000004,Denbighshire,95817,568,0.592796685,6,readWrite
W06000004,Denbighshire,95817,181,0.188901761,5,write
W06000004,Denbighshire,95817,1416,1.477817089,4,read
W06000004,Denbighshire,95817,1417,1.478860745,3,speakRead
W06000004,Denbighshire,95817,16459,17.17753635,1,all
W06000004,Denbighshire,95817,2836,2.959808802,2,speak
W06000004,Denbighshire,95817,62522,65.25146895,8,none
W06000005,Flintshire,154962,122415,78.99678631,8,none
W06000005,Flintshire,154962,283,0.182625418,7,other
W06000005,Flintshire,154962,834,0.538196461,6,readWrite
W06000005,Flintshire,154962,278,0.17939882,5,write
W06000005,Flintshire,154962,2112,1.362914779,4,read
W06000005,Flintshire,154962,1350,0.871181322,3,speakRead
W06000005,Flintshire,154962,7495,4.836669635,0,understand
W06000005,Flintshire,154962,2873,1.854002917,2,speak
W06000005,Flintshire,154962,12920,8.33752791,1,all
W06000005,Flintshire,154962,4400,2.83940579,-8,N/A
W06000006,Wrexham,135117,4032,2.984080464,-8,N/A
W06000006,Wrexham,135117,7140,5.284309154,0,understand
W06000006,Wrexham,135117,11957,8.849367585,1,all
W06000006,Wrexham,135117,2526,1.869490886,2,speak
W06000006,Wrexham,135117,1200,0.888119186,3,speakRead
W06000006,Wrexham,135117,292,0.216109002,5,write
W06000006,Wrexham,135117,852,0.630564622,6,readWrite
W06000006,Wrexham,135117,270,0.199826817,7,other
W06000006,Wrexham,135117,104953,77.67564407,8,none
W06000006,Wrexham,135117,1898,1.404708512,4,read
W06000008,Ceredigion,71475,1128,1.578174187,4,read
W06000008,Ceredigion,71475,30475,42.63728576,8,none
W06000008,Ceredigion,71475,26104,36.52186079,1,all
W06000008,Ceredigion,71475,351,0.491080797,7,other
W06000008,Ceredigion,71475,524,0.73312347,6,readWrite
W06000008,Ceredigion,71475,158,0.221056313,5,write
W06000008,Ceredigion,71475,1813,2.536551242,3,speakRead
W06000008,Ceredigion,71475,3410,4.770898916,2,speak
W06000008,Ceredigion,71475,5948,8.321790836,0,understand
W06000008,Ceredigion,71475,1564,2.188177685,-8,N/A
W06000009,Pembrokeshire,123360,3152,2.555123217,-8,N/A
W06000009,Pembrokeshire,123360,7359,5.965466926,0,understand
W06000009,Pembrokeshire,123360,15617,12.6596952,1,all
W06000009,Pembrokeshire,123360,1541,1.249189364,4,read
W06000009,Pembrokeshire,123360,159,0.128891051,5,write
W06000009,Pembrokeshire,123360,622,0.504215305,6,readWrite
W06000009,Pembrokeshire,123360,263,0.213197147,7,other
W06000009,Pembrokeshire,123360,89901,72.87694553,8,none
W06000009,Pembrokeshire,123360,1530,1.240272374,3,speakRead
W06000009,Pembrokeshire,123360,3216,2.607003891,2,speak
W06000010,Carmarthenshire,187897,5178,2.755765127,-8,N/A
W06000010,Carmarthenshire,187897,19995,10.64146846,0,understand
W06000010,Carmarthenshire,187897,10578,5.629680091,2,speak
W06000010,Carmarthenshire,187897,5031,2.677530775,3,speakRead
W06000010,Carmarthenshire,187897,2942,1.565751449,4,read
W06000010,Carmarthenshire,187897,378,0.201174047,5,write
W06000010,Carmarthenshire,187897,1279,0.680692081,6,readWrite
W06000010,Carmarthenshire,187897,735,0.391171759,7,other
W06000010,Carmarthenshire,187897,85287,45.39029362,8,none
W06000010,Carmarthenshire,187897,56493,30.06594038,1,all
W06000011,Swansea,238490,11345,4.757012873,0,understand
W06000011,Swansea,238490,19951,8.365549918,1,all
W06000011,Swansea,238490,3716,1.55813661,2,speak
W06000011,Swansea,238490,2008,0.841964024,3,speakRead
W06000011,Swansea,238490,3556,1.491047843,4,read
W06000011,Swansea,238490,317,0.132919619,5,write
W06000011,Swansea,238490,1288,0.540064573,6,readWrite
W06000011,Swansea,238490,311,0.130403791,7,other
W06000011,Swansea,238490,189400,79.41632773,8,none
W06000011,Swansea,238490,6601,2.767830936,-8,N/A
W06000012,Neath Port Talbot,142289,168,0.118069563,5,write
W06000012,Neath Port Talbot,142289,8032,5.644849567,0,understand
W06000012,Neath Port Talbot,142289,108358,76.15346232,8,none
W06000012,Neath Port Talbot,142289,186,0.130719873,7,other
W06000012,Neath Port Talbot,142289,789,0.554505267,6,readWrite
W06000012,Neath Port Talbot,142289,2311,1.624159281,4,read
W06000012,Neath Port Talbot,142289,1388,0.975479482,3,speakRead
W06000012,Neath Port Talbot,142289,2993,2.103465482,2,speak
W06000012,Neath Port Talbot,142289,14095,9.905895747,1,all
W06000012,Neath Port Talbot,142289,3969,2.789393418,-8,N/A
W06000013,Bridgend,145488,5500,3.780380512,0,understand
W06000013,Bridgend,145488,10177,6.995078632,1,all
W06000013,Bridgend,145488,1713,1.177416694,2,speak
W06000013,Bridgend,145488,982,0.674969757,3,speakRead
W06000013,Bridgend,145488,2491,1.712168701,4,read
W06000013,Bridgend,145488,189,0.129907621,5,write
W06000013,Bridgend,145488,853,0.58630265,6,readWrite
W06000013,Bridgend,145488,165,0.113411415,7,other
W06000013,Bridgend,145488,119223,81.9469647,8,none
W06000013,Bridgend,145488,4194,2.882711976,-8,N/A
W06000014,Vale of Glamorgan,131939,1615,1.224050508,4,read
W06000014,Vale of Glamorgan,131939,11946,9.054184131,1,all
W06000014,Vale of Glamorgan,131939,3859,2.924836477,-8,N/A
W06000014,Vale of Glamorgan,131939,1753,1.328644298,2,speak
W06000014,Vale of Glamorgan,131939,4488,3.401571939,0,understand
W06000014,Vale of Glamorgan,131939,106545,80.75322687,8,none
W06000014,Vale of Glamorgan,131939,159,0.120510236,7,other
W06000014,Vale of Glamorgan,131939,560,0.424438566,6,readWrite
W06000014,Vale of Glamorgan,131939,137,0.103835864,5,write
W06000014,Vale of Glamorgan,131939,877,0.664701112,3,speakRead
W06000015,Cardiff,362308,11068,3.054859401,-8,N/A
W06000015,Cardiff,362308,35578,9.819821809,1,all
W06000015,Cardiff,362308,2326,0.641995208,3,speakRead
W06000015,Cardiff,362308,4919,1.357684622,4,read
W06000015,Cardiff,362308,466,0.128619848,5,write
W06000015,Cardiff,362308,2087,0.576029235,6,readWrite
W06000015,Cardiff,362308,11157,3.079424136,0,understand
W06000015,Cardiff,362308,435,0.120063592,7,other
W06000015,Cardiff,362308,289854,80.00209766,8,none
W06000015,Cardiff,362308,4418,1.219404485,2,speak
W06000016,Rhondda Cynon Taf,237651,9261,3.896890819,0,understand
W06000016,Rhondda Cynon Taf,237651,23345,9.823228179,1,all
W06000016,Rhondda Cynon Taf,237651,3229,1.358715091,2,speak
W06000016,Rhondda Cynon Taf,237651,1695,0.713230746,3,speakRead
W06000016,Rhondda Cynon Taf,237651,3748,1.577102558,4,read
W06000016,Rhondda Cynon Taf,237651,385,0.162002264,5,write
W06000016,Rhondda Cynon Taf,237651,1229,0.517144889,6,readWrite
W06000016,Rhondda Cynon Taf,237651,287,0.120765324,7,other
W06000016,Rhondda Cynon Taf,237651,187137,78.74446142,8,none
W06000016,Rhondda Cynon Taf,237651,7333,3.085617144,-8,N/A
W06000018,Caerphilly,175952,1890,1.074156588,4,read
W06000018,Caerphilly,175952,5266,2.99286169,0,understand
W06000018,Caerphilly,175952,144721,82.2502728,8,none
W06000018,Caerphilly,175952,271,0.154019278,7,other
W06000018,Caerphilly,175952,750,0.426252614,6,readWrite
W06000018,Caerphilly,175952,223,0.126739111,5,write
W06000018,Caerphilly,175952,1003,0.57004183,3,speakRead
W06000018,Caerphilly,175952,2061,1.171342184,2,speak
W06000018,Caerphilly,175952,14502,8.242020551,1,all
W06000018,Caerphilly,175952,5265,2.992293353,-8,N/A
W06000019,Blaenau Gwent,66904,1508,2.253975846,0,understand
W06000019,Blaenau Gwent,66904,3048,4.555781418,1,all
W06000019,Blaenau Gwent,66904,602,0.899796724,2,speak
W06000019,Blaenau Gwent,66904,289,0.431962215,3,speakRead
W06000019,Blaenau Gwent,66904,439,0.656164056,4,read
W06000019,Blaenau Gwent,66904,92,0.137510463,5,write
W06000019,Blaenau Gwent,66904,278,0.415520746,6,readWrite
W06000019,Blaenau Gwent,66904,96,0.143489179,7,other
W06000019,Blaenau Gwent,66904,58444,87.35501614,8,none
W06000019,Blaenau Gwent,66904,2108,3.150783212,-8,N/A
W06000020,Torfaen,92276,117,0.126793532,7,other
W06000020,Torfaen,92276,2007,2.174996749,0,understand
W06000020,Torfaen,92276,399,0.432398457,6,readWrite
W06000020,Torfaen,92276,135,0.14630023,5,write
W06000020,Torfaen,92276,2896,3.138410854,-8,N/A
W06000020,Torfaen,92276,5783,6.26706836,1,all
W06000020,Torfaen,92276,974,1.055529065,2,speak
W06000020,Torfaen,92276,491,0.532099354,3,speakRead
W06000020,Torfaen,92276,656,0.710910746,4,read
W06000020,Torfaen,92276,78817,85.41440895,8,none
W06000021,Monmouthshire,92957,2267,2.438762008,-8,N/A
W06000021,Monmouthshire,92957,6133,6.597674193,1,all
W06000021,Monmouthshire,92957,478,0.514216251,3,speakRead
W06000021,Monmouthshire,92957,869,0.93484084,4,read
W06000021,Monmouthshire,92957,117,0.125864647,5,write
W06000021,Monmouthshire,92957,435,0.467958303,6,readWrite
W06000021,Monmouthshire,92957,2273,2.445216606,0,understand
W06000021,Monmouthshire,92957,129,0.138773842,7,other
W06000021,Monmouthshire,92957,79140,85.13613821,8,none
W06000021,Monmouthshire,92957,1111,1.195176264,2,speak
W06000022,Newport,159592,3827,2.397989874,0,understand
W06000022,Newport,159592,8717,5.462053236,1,all
W06000022,Newport,159592,1812,1.135395258,2,speak
W06000022,Newport,159592,826,0.517569803,3,speakRead
W06000022,Newport,159592,1202,0.753170585,4,read
W06000022,Newport,159592,218,0.136598326,5,write
W06000022,Newport,159592,764,0.478720738,6,readWrite
W06000022,Newport,159592,239,0.14975688,7,other
W06000022,Newport,159592,136275,85.38961853,8,none
W06000022,Newport,159592,5715,3.581006567,-8,N/A
W06000023,Powys,133169,2044,1.534891754,4,read
W06000023,Powys,133169,8318,6.24619844,0,understand
W06000023,Powys,133169,97179,72.97419069,8,none
W06000023,Powys,133169,264,0.198244336,7,other
W06000023,Powys,133169,794,0.596234859,6,readWrite
W06000023,Powys,133169,209,0.156943433,5,write
W06000023,Powys,133169,1521,1.142157709,3,speakRead
W06000023,Powys,133169,3316,2.49006901,2,speak
W06000023,Powys,133169,16256,12.20704518,1,all
W06000023,Powys,133169,3267,2.45327366,-8,N/A
W06000024,Merthyr Tydfil,58836,2074,3.525052689,0,understand
W06000024,Merthyr Tydfil,58836,4052,6.886939969,1,all
W06000024,Merthyr Tydfil,58836,672,1.142157863,2,speak
W06000024,Merthyr Tydfil,58836,296,0.503093344,3,speakRead
W06000024,Merthyr Tydfil,58836,847,1.439594806,4,read
W06000024,Merthyr Tydfil,58836,76,0.129172615,5,write
W06000024,Merthyr Tydfil,58836,267,0.453803794,6,readWrite
W06000024,Merthyr Tydfil,58836,59,0.100278741,7,other
W06000024,Merthyr Tydfil,58836,48615,82.62798287,8,none
W06000024,Merthyr Tydfil,58836,1882,3.198721871,-8,N/A
